id,source_website,week,player_first_name,player_last_name,position,projected_points,created_at,updated_at,team
7254,espn.com,Week 9,Christian,McCaffrey,RB,26.1,2025-10-29 00:31:33,2025-10-29 00:31:33,SF
6837,sleeper.com,Week 9,Josh,Allen,QB,26.0,2025-10-29 00:23:43,2025-10-29 00:23:43,BUF
6838,sleeper.com,Week 9,Lamar,Jackson,QB,25.6,2025-10-29 00:23:43,2025-10-29 00:23:43,BAL
7459,fantasypros.com,Week 8,Patrick,Mahomes II,QB,25.0,2025-10-29 00:39:00,2025-10-29 00:39:00,KC
8106,fanduel.com,Week 9,Lamar,Jackson,QB,24.73,2025-10-29 00:52:31,2025-10-29 00:52:31,BAL
7303,espn.com,Week 9,Jaxon,Smith-Njigba,WR,24.6,2025-10-29 00:31:33,2025-10-29 00:31:33,SEA
7460,fantasypros.com,Week 8,Josh,Allen,QB,24.5,2025-10-29 00:39:00,2025-10-29 00:39:00,BUF
7461,fantasypros.com,Week 8,Lamar,Jackson,QB,24.0,2025-10-29 00:39:00,2025-10-29 00:39:00,BAL
6839,sleeper.com,Week 9,Jalen,Hurts,QB,23.8,2025-10-29 00:23:43,2025-10-29 00:23:43,PHI
7462,fantasypros.com,Week 8,Justin,Herbert,QB,23.5,2025-10-29 00:39:00,2025-10-29 00:39:00,LAC
7226,espn.com,Week 9,Lamar,Jackson,QB,23.4,2025-10-29 00:31:33,2025-10-29 00:31:33,BAL
7255,espn.com,Week 9,Jonathan,Taylor,RB,23.4,2025-10-29 00:31:33,2025-10-29 00:31:33,IND
7227,espn.com,Week 9,Patrick,Mahomes,QB,23.2,2025-10-29 00:31:33,2025-10-29 00:31:33,KC
7304,espn.com,Week 9,Ja'Marr,Chase,WR,23.2,2025-10-29 00:31:33,2025-10-29 00:31:33,CIN
6840,sleeper.com,Week 9,Jayden,Daniels,QB,23.0,2025-10-29 00:23:43,2025-10-29 00:23:43,WAS
7463,fantasypros.com,Week 8,Drake,Maye,QB,23.0,2025-10-29 00:39:00,2025-10-29 00:39:00,NE
