team_id,team_name,owner,count,probability,odds
10,Team 10,monkeyman966699696,6240,0.1248,+701
3,Team 3,amir812,6019,0.12038,+731
8,Team 8,sahirsyed30,5126,0.10252,+875
5,Team 5,TBK41,4561,0.09122,+996
1,Team 1,xavierking4,4245,0.0849,+1078
6,Team 6,Jibraan,4118,0.08236,+1114
7,Team 7,mehdidrissi,4026,0.08052,+1142
11,Team 11,Ammady,3990,0.0798,+1153
12,Team 12,sfaizi24,3729,0.07458,+1241
4,Team 4,umarrahman30,3017,0.06034,+1557
9,Team 9,Bilal879,2684,0.05368,+1763
2,Team 2,asadrafique,2245,0.0449,+2127
