team_id,team_name,owner,count,probability,odds
2,Team 2,asadrafique,8712,0.17424,+474
4,Team 4,umarrahman30,8336,0.16672,+500
1,Team 1,xavierking4,5532,0.11064,+804
12,Team 12,sfaizi24,5437,0.10874,+820
11,Team 11,Ammady,4434,0.08868,+1028
7,Team 7,mehdidrissi,4260,0.0852,+1074
9,Team 9,Bilal879,3971,0.07942,+1159
6,Team 6,Jibraan,3346,0.06692,+1394
5,Team 5,TBK41,2984,0.05968,+1576
10,Team 10,monkeyman966699696,1449,0.02898,+3351
8,Team 8,sahirsyed30,1149,0.02298,+4252
3,Team 3,amir812,390,0.0078,+12721
