team_id,team_name,owner,line,over_prob,over_odds,under_prob,under_odds,push_count
6,Team 6,Jibraan,124.07,0.5,-100,0.5,-100,0
3,Team 3,amir812,121.7,0.49994,+100,0.50006,-100,0
10,Team 10,monkeyman966699696,117.35,0.49996,+100,0.50004,-100,0
11,Team 11,Ammady,117.04,0.49996,+100,0.50004,-100,0
7,Team 7,mehdidrissi,114.61,0.5001,-100,0.4999,+100,0
5,Team 5,TBK41,112.73,0.5,-100,0.5,-100,0
1,Team 1,xavierking4,111.73,0.50006,-100,0.49994,+100,0
9,Team 9,Bilal879,110.41,0.50002,-100,0.49998,+100,0
12,Team 12,sfaizi24,108.75,0.50012,-100,0.49988,+100,0
4,Team 4,umarrahman30,108.24,0.49998,+100,0.50002,-100,0
2,Team 2,asadrafique,106.66,0.50008,-100,0.49992,+100,0
8,Team 8,sahirsyed30,105.84,0.49994,+100,0.50006,-100,0
