player_id,full_name,first_name,last_name,position,team,number,age,height,weight,college,years_exp,birth_date,birth_city,birth_state,birth_country,high_school,status,active,injury_status,injury_body_part,injury_notes,injury_start_date,practice_participation,depth_chart_position,depth_chart_order,search_rank,fantasy_positions,metadata,created_at,updated_at
8074,Matt Seybert,Matt,Seybert,TE,,41.0,24.0,76,252,Michigan State,1.0,1997-05-02,,,,St. Francis (MI),Active,1,,,,,,,,,['TE'],{'channel_id': '1116853462399713280'},2025-11-05 00:47:44,2025-11-05 00:47:44
8432,Player Invalid,Player,Invalid,TE,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['TE'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
12459,Player Invalid,Player,Invalid,RB,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['RB'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
7555,Jamie Newman,Jamie,Newman,QB,,10.0,24.0,76,230,Georgia,1.0,1997-12-01,,,,Graham (NC),Inactive,1,,,,,,,,,['QB'],"{'channel_id': '1116853405550116864', 'rookie_year': '2021', 'source_id': 'e4b8ce2f-b39f-478d-9a2f-01800d408f84'}",2025-11-05 00:47:44,2025-11-05 00:47:44
7614,Darius Clark,Darius,Clark,RB,,0.0,25.0,74,210,Newberry,1.0,1996-07-06,,,,St. John's (SC),Active,1,Questionable,Knee,,,,,,,['RB'],{'channel_id': '1116853409631174656'},2025-11-05 00:47:44,2025-11-05 00:47:44
11572,Player Invalid,Player,Invalid,RB,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['RB'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
HOU,HOU Defense,HOU,Defense,DST,HOU,,,,,,,,,,,,,1,,,,,,,,,['DEF'],None,2025-11-05 00:47:44,2025-11-05 01:26:53
11611,Player Invalid,Player,Invalid,WR,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['WR'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
NE,NE Defense,NE,Defense,DST,NE,,,,,,,,,,,,,1,,,,,,,,,['DEF'],None,2025-11-05 00:47:44,2025-11-05 01:26:53
11612,Bru McCoy,Bru,McCoy,WR,,,,75,230,Tennessee,0.0,,,,,,Active,1,,,,,,,,,['WR'],{'source_id': '08cc7af3-2572-4a83-8d5f-33984d34ef84'},2025-11-05 00:47:44,2025-11-05 00:47:44
8092,Corey Taylor,Corey,Taylor,RB,,0.0,24.0,70,215,Tulsa,1.0,1997-07-04,,,,Holland Hall (OK),Active,1,,,,,,,,,['RB'],{'channel_id': '1116853465591578624'},2025-11-05 00:47:44,2025-11-05 00:47:44
8425,Player Invalid,Player,Invalid,RB,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['RB'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
BAL,BAL Defense,BAL,Defense,DST,BAL,,,,,,,,,,,,,1,,,,,,,,,['DEF'],None,2025-11-05 00:47:44,2025-11-05 01:26:53
7515,Sergio Castillo,Sergio,Castillo,K,,6.0,31.0,71,195,West Texas A&amp;M,8.0,1990-11-01,,,,La Joya (TX),Active,1,,,,,,,,,['K'],{'channel_id': '1116853401179652096'},2025-11-05 00:47:44,2025-11-05 00:47:44
11591,Player Invalid,Player,Invalid,TE,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['TE'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
8430,Player Invalid,Player,Invalid,QB,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['QB'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
11622,Player Invalid,Player,Invalid,WR,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['WR'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
11602,Player Invalid,Player,Invalid,TE,,,,,,,0.0,,,,,,Inactive,0,,,,,,,,,['TE'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
PIT,PIT Defense,PIT,Defense,DST,PIT,,,,,,,,,,,,,1,,,,,,,,,['DEF'],None,2025-11-05 00:47:44,2025-11-05 01:26:53
7874,Jeremiah Haydel,Jeremiah,Haydel,WR,,0.0,22.0,72,170,Texas State,1.0,1999-03-25,,,,Alief Taylor (TX),Active,1,,,,,,,,,['WR'],{'channel_id': '1116853427259834368'},2025-11-05 00:47:44,2025-11-05 00:47:44
IND,IND Defense,IND,Defense,DST,IND,,,,,,,,,,,,,1,,,,,,,,,['DEF'],None,2025-11-05 00:47:44,2025-11-05 01:26:53
