sleeper_player_id,match_method,source_website,week,player_first_name,player_last_name,position,team,projected_points,created_at
4034,automatic,fanduel.com,Week 12,Christian,McCaffrey,RB,SF,30.34,2025-11-20 18:03:39
9226,automatic,espn.com,Week 11,De'Von,Achane,RB,MIA,27.9,2025-11-20 18:03:39
4034,automatic,espn.com,Week 11,Christian,McCaffrey,RB,SF,26.6,2025-11-20 18:03:39
4034,automatic,espn.com,Week 12,Christian,McCaffrey,RB,SF,26.1,2025-11-20 18:03:39
4984,automatic,sleeper.com,Week 11,Josh,Allen,QB,BUF,26.0,2025-11-20 18:03:39
4984,automatic,sleeper.com,Week 12,Josh,Allen,QB,BUF,25.9,2025-11-20 18:03:39
6904,automatic,sleeper.com,Week 12,Jalen,Hurts,QB,PHI,25.7,2025-11-20 18:03:39
4984,automatic,sleeper.com,Week 10,Josh,Allen,QB,BUF,25.6,2025-11-20 18:03:39
11564,automatic,sleeper.com,Week 12,Drake,Maye,QB,NE,25.3,2025-11-20 18:03:39
4034,automatic,sleeper.com,Week 12,Christian,McCaffrey,RB,SF,25.2,2025-11-20 18:03:39
4881,automatic,sleeper.com,Week 10,Lamar,Jackson,QB,BAL,25.1,2025-11-20 18:03:39
4881,automatic,sleeper.com,Week 12,Lamar,Jackson,QB,BAL,25.1,2025-11-20 18:03:39
11564,automatic,espn.com,Week 12,Drake,Maye,QB,NE,25.1,2025-11-20 18:03:39
4034,automatic,fantasypros.com,Week 12,Christian,McCaffrey,RB,SF,25.1,2025-11-20 18:03:39
4984,automatic,fantasypros.com,Week 11,Josh,Allen,QB,BUF,25.0,2025-11-20 18:03:39
4046,automatic,sleeper.com,Week 12,Patrick,Mahomes,QB,KC,24.9,2025-11-20 18:03:39
4881,automatic,sleeper.com,Week 11,Lamar,Jackson,QB,BAL,24.6,2025-11-20 18:03:39
11564,automatic,fantasypros.com,Week 11,Drake,Maye,QB,NE,24.5,2025-11-20 18:03:39
4034,automatic,espn.com,Week 10,Christian,McCaffrey,RB,SF,24.4,2025-11-20 18:03:39
4034,automatic,sleeper.com,Week 10,Christian,McCaffrey,RB,SF,24.2,2025-11-20 18:03:39
12508,automatic,sleeper.com,Week 10,Jaxson,Dart,QB,NYG,24.1,2025-11-20 18:03:39
4984,automatic,fantasypros.com,Week 10,Josh,Allen,QB,BUF,24.1,2025-11-20 18:03:39
6904,automatic,sleeper.com,Week 11,Jalen,Hurts,QB,PHI,24.1,2025-11-20 18:03:39
6904,automatic,fantasypros.com,Week 11,Jalen,Hurts,QB,PHI,24.0,2025-11-20 18:03:39
4034,automatic,sleeper.com,Week 11,Christian,McCaffrey,RB,SF,23.9,2025-11-20 18:03:39
4034,automatic,firstdown.studio,Week 11,C.,McCaffrey,RB,SF,23.9,2025-11-20 18:03:39
6813,automatic,sleeper.com,Week 12,Jonathan,Taylor,RB,IND,23.9,2025-11-20 18:03:39
4881,automatic,fanduel.com,Week 12,Lamar,Jackson,QB,BAL,23.9,2025-11-20 18:03:39
9493,automatic,sleeper.com,Week 10,Puka,Nacua,WR,LAR,23.7,2025-11-20 18:03:39
4881,automatic,espn.com,Week 10,Lamar,Jackson,QB,BAL,23.6,2025-11-20 18:03:39
9226,automatic,sleeper.com,Week 11,De'Von,Achane,RB,MIA,23.5,2025-11-20 18:03:39
4881,automatic,fantasypros.com,Week 11,Lamar,Jackson,QB,BAL,23.5,2025-11-20 18:03:39
11564,automatic,fantasypros.com,Week 12,Drake,Maye,QB,NE,23.5,2025-11-20 18:03:39
