roster_id,team_name,owner,record,slot,player_name,position,mu,sigma,var,n_sources,is_replacement
1,Team 1,xavierking4,9-5,QB,Matthew Stafford,QB,20.740000000000002,7.111399299715915,50.572,5,False
1,Team 1,xavierking4,9-5,K,Evan McPherson,K,8.15,4.212679274127888,17.74666666666667,4,False
1,Team 1,xavierking4,9-5,DEF,NO Defense,DEF,5.9,7.0,49.0,2,False
1,Team 1,xavierking4,9-5,RB1,Bijan Robinson,RB,20.02,9.574340708372562,91.668,5,False
1,Team 1,xavierking4,9-5,RB2,Waiver Pickup,RB,7.9175,9.344351234837013,87.31690000000002,4,True
1,Team 1,xavierking4,9-5,WR1,Jameson Williams,WR,13.014000000000001,10.288825005801197,105.85992,5,False
1,Team 1,xavierking4,9-5,WR2,Emeka Egbuka,WR,10.786,10.47043074567613,109.62991999999998,5,False
1,Team 1,xavierking4,9-5,TE,Trey McBride,TE,14.895999999999997,8.754217269407928,76.63632,5,False
1,Team 1,xavierking4,9-5,FLEX,Waiver Pickup,WR,8.617999999999999,10.340622805227934,106.92848000000002,5,True
2,Team 2,asadrafique,8-6,QB,Waiver Pickup,QB,16.298,8.353686611311199,69.78407999999997,5,True
2,Team 2,asadrafique,8-6,K,Chris Boswell,K,8.175,4.337049688440288,18.810000000000002,4,False
2,Team 2,asadrafique,8-6,DEF,HOU Defense,DEF,9.0,7.779460135510689,60.51999999999999,2,False
2,Team 2,asadrafique,8-6,RB1,Breece Hall,RB,13.787500000000001,9.357483636106451,87.56250000000001,4,False
2,Team 2,asadrafique,8-6,RB2,Aaron Jones,RB,11.022499999999999,9.018800733283038,81.33876666666667,4,False
2,Team 2,asadrafique,8-6,WR1,Jaxon Smith-Njigba,WR,20.77,10.513229760639687,110.52800000000002,5,False
2,Team 2,asadrafique,8-6,WR2,Christian Watson,WR,10.687999999999999,10.112115505669424,102.25487999999999,5,False
2,Team 2,asadrafique,8-6,TE,Jake Ferguson,TE,9.964,8.15290868340864,66.46992,5,False
2,Team 2,asadrafique,8-6,FLEX,Kareem Hunt,RB,9.7375,9.063249968968085,82.1425,4,False
3,Team 3,amir812,8-6,QB,Waiver Pickup,QB,16.298,8.353686611311199,69.78407999999997,5,True
3,Team 3,amir812,8-6,K,Will Reichard,K,7.75,4.1649329726499404,17.34666666666667,4,False
3,Team 3,amir812,8-6,DEF,JAX Defense,DEF,8.350000000000001,7.001428425685718,49.019999999999996,2,False
3,Team 3,amir812,8-6,RB1,Christian McCaffrey,RB,25.656,10.409165192271665,108.35072000000001,5,False
3,Team 3,amir812,8-6,RB2,De'Von Achane,RB,19.638,10.38666837826259,107.88288000000001,5,False
3,Team 3,amir812,8-6,WR1,Rashee Rice,WR,16.014000000000003,10.904123990490938,118.89992000000001,5,False
