Team ID,Team Name,Owner,Record,Total Mu,Combined Sigma,Total Var,Waiver Pickups
8,Team 8,sahirsyed30,8-5,123.75,26.18,685.22,0
5,Team 5,TBK41,8-5,122.57,26.79,717.88,0
10,Team 10,monkeyman966699696,8-5,122.53,26.84,720.23,0
6,Team 6,Jibraan,7-6,114.71,26.65,710.09,0
1,Team 1,xavierking4,9-4,113.22,25.85,668.38,1
2,Team 2,asadrafique,7-6,111.58,26.27,690.35,0
3,Team 3,amir812,8-5,111.47,26.9,723.6,2
9,Team 9,Bilal879,5-8,109.81,25.99,675.53,1
12,Team 12,sfaizi24,7-6,107.97,28.53,813.7,1
11,Team 11,Ammady,6-7,107.11,27.16,737.4,1
7,Team 7,mehdidrissi,4-9,106.1,27.03,730.61,2
4,Team 4,umarrahman30,1-12,101.34,25.61,655.91,1
