sleeper_player_id,match_method,id,source_website,week,player_first_name,player_last_name,position,projected_points,created_at,updated_at,team
,,18209,sleeper.com,Week 12,Matt,Gay,K,9.4,2025-11-20 17:45:26,2025-11-20 17:59:20,SF
,,18716,espn.com,Week 12,Harrison,Mevis,K,8.7,2025-11-20 17:46:24,2025-11-20 18:00:16,LAR
,,17042,espn.com,Week 11,Harrison,Mevis,K,8.5,2025-11-13 05:19:16,2025-11-13 05:19:16,LAR
,,18891,fanduel.com,Week 12,Isaiah,Hodgins,WR,8.19,2025-11-20 17:52:44,2025-11-20 18:02:18,NYG
,,18248,sleeper.com,Week 12,Isaiah,Hodgins,WR,8.1,2025-11-20 17:45:26,2025-11-20 17:59:20,NYG
,,18256,sleeper.com,Week 12,Harrison,Mevis,K,7.9,2025-11-20 17:45:26,2025-11-20 17:59:20,LAR
,,15359,sleeper.com,Week 10,Matthew,Wright,K,7.6,2025-11-07 00:48:26,2025-11-07 00:48:26,HOU
,,16573,sleeper.com,Week 11,Harrison,Mevis,K,7.6,2025-11-13 05:18:19,2025-11-13 05:18:19,LAR
,,20296,fantasypros.com,Week 12,Harrison,Mevis,K,7.4,2025-11-20 18:01:42,2025-11-20 18:01:42,LAR
,,20136,fantasypros.com,Week 12,Isaiah,Hodgins,WR,6.4,2025-11-20 18:01:42,2025-11-20 18:01:42,NYG
,,17388,fantasypros.com,Week 11,Harrison,Mevis,K,6.2,2025-11-13 05:20:49,2025-11-13 05:20:49,LAR
,,20310,fantasypros.com,Week 12,Matt,Gay,K,4.6,2025-11-20 18:01:42,2025-11-20 18:01:42,SF
,,20311,fantasypros.com,Week 12,Matthew,Wright,K,4.4,2025-11-20 18:01:42,2025-11-20 18:01:42,FA
,,20171,fantasypros.com,Week 12,Brandin,Cooks,WR,3.1,2025-11-20 18:01:42,2025-11-20 18:01:42,FA
,,20026,fantasypros.com,Week 12,Kyle,Juszczyk,RB,3.0,2025-11-20 18:01:42,2025-11-20 18:01:42,SF
,,16672,sleeper.com,Week 11,Lil'Jordan,Humphrey,WR,2.5,2025-11-13 05:18:19,2025-11-13 05:18:19,DEN
,,15961,fantasypros.com,Week 10,Kyle,Juszczyk,RB,2.4,2025-11-07 00:50:27,2025-11-07 00:50:27,SF
,,19002,fanduel.com,Week 12,Jack,Westover,RB,2.36,2025-11-20 17:52:44,2025-11-20 18:02:18,NE
,,15456,sleeper.com,Week 10,Alec,Ingold,RB,2.0,2025-11-07 00:48:26,2025-11-07 00:51:07,MIA
,,18391,sleeper.com,Week 12,Kyle,Juszczyk,RB,1.5,2025-11-20 17:45:26,2025-11-20 18:02:59,SF
,,14974,fanduel.com,Week 10,Kyle,Juszczyk,RB,1.43,2025-11-07 00:48:09,2025-11-07 00:48:09,SF
,,15481,sleeper.com,Week 10,Kyle,Juszczyk,RB,1.4,2025-11-07 00:48:26,2025-11-07 00:51:07,SF
,,16709,sleeper.com,Week 11,Alec,Ingold,RB,1.4,2025-11-13 05:18:19,2025-11-13 05:26:14,MIA
,,16712,sleeper.com,Week 11,Kyle,Juszczyk,RB,1.4,2025-11-13 05:18:19,2025-11-13 05:26:14,SF
,,16721,sleeper.com,Week 11,Hunter,Luepke,RB,1.2,2025-11-13 05:18:19,2025-11-13 05:26:14,DAL
,,18401,sleeper.com,Week 12,Hunter,Luepke,RB,1.2,2025-11-20 17:45:26,2025-11-20 18:02:59,DAL
,,19037,fanduel.com,Week 12,Andrew,Ogletree,TE,1.16,2025-11-20 17:52:44,2025-11-20 18:02:18,IND
,,17882,fanduel.com,Week 11,Justin,Shorter,TE,1.05,2025-11-13 05:21:22,2025-11-13 05:21:22,LV
,,15971,fantasypros.com,Week 10,Alec,Ingold,RB,1.0,2025-11-07 00:50:27,2025-11-07 00:50:27,MIA
,,17238,fantasypros.com,Week 11,Kyle,Juszczyk,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SF
,,17242,fantasypros.com,Week 11,Alec,Ingold,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIA
,,17245,fantasypros.com,Week 11,Adam,Prentice,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DEN
,,17246,fantasypros.com,Week 11,Hunter,Luepke,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DAL
,,17249,fantasypros.com,Week 11,Patrick,Ricard,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BAL
,,17262,fantasypros.com,Week 11,C.J.,Ham,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIN
,,17266,fantasypros.com,Week 11,Trey,Sermon,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,FA
,,14999,fanduel.com,Week 10,Alec,Ingold,RB,0.98,2025-11-07 00:48:09,2025-11-07 00:48:09,MIA
,,17887,fanduel.com,Week 11,Alec,Ingold,RB,0.95,2025-11-13 05:21:22,2025-11-13 05:21:22,MIA
,,19050,fanduel.com,Week 12,Patrick,Ricard,RB,0.94,2025-11-20 17:52:44,2025-11-20 18:02:18,BAL
,,17888,fanduel.com,Week 11,Kyle,Juszczyk,RB,0.93,2025-11-13 05:21:22,2025-11-13 05:21:22,SF
,,19053,fanduel.com,Week 12,Kyle,Juszczyk,RB,0.89,2025-11-20 17:52:44,2025-11-20 18:02:18,SF
,,17893,fanduel.com,Week 11,Hunter,Luepke,RB,0.83,2025-11-13 05:21:22,2025-11-13 05:21:22,DAL
