player_id,full_name,first_name,last_name,position,team,number,age,height,weight,college,years_exp,birth_date,birth_city,birth_state,birth_country,high_school,status,active,injury_status,injury_body_part,injury_notes,injury_start_date,practice_participation,depth_chart_position,depth_chart_order,search_rank,fantasy_positions,metadata,created_at,updated_at
2503,A.J. Derby,A.J.,Derby,TE,,81.0,30.0,77,240,Arkansas,7.0,1991-09-20,,,,Iowa City (IA),Inactive,0,,,,,,,,9999999.0,['TE'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
7074,A.J. Hines,A.J.,Hines,RB,,,,"5'11""",237,Duquesne,0.0,,,,,,Inactive,0,NA,,,,,,,9999999.0,['RB'],{'override_active': 'false'},2025-11-05 00:47:44,2025-11-05 00:47:44
6664,A.J. Ouellette,A.J.,Ouellette,RB,,1.0,26.0,69,209,Ohio,3.0,1995-07-20,,,,Covington,Active,1,,,,,,,,9999999.0,['RB'],{'channel_id': '1116853288680030208'},2025-11-05 00:47:44,2025-11-05 00:47:44
6373,A.J. Richardson,A.J.,Richardson,WR,,0.0,26.0,72,212,Boise State,3.0,1995-06-02,,,,Narbonne (CA),Active,1,,,,,,,,9999999.0,['WR'],{'channel_id': '1116853240600723456'},2025-11-05 00:47:44,2025-11-05 00:47:44
2701,AJ Cruz,AJ,Cruz,WR,,81.0,27.0,"5'9""",195,Brown,1.0,1991-02-20,,,,,Inactive,0,,,,,,,,9999999.0,['WR'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
1226,AJ Jenkins,AJ,Jenkins,WR,,15.0,27.0,"6'0""",192,Illinois,4.0,1989-09-30,,,,,Inactive,0,,,,,,,,9999999.0,['WR'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
4683,Aaron Bailey,Aaron,Bailey,QB,BAL,8.0,,"6'1""",230,Northern Iowa,1.0,,,,,,Active,1,,,,,,QB,4.0,9999999.0,['QB'],{'channel_id': '1116853005644201984'},2025-11-05 00:47:44,2025-11-05 00:47:44
3368,Aaron Burbridge,Aaron,Burbridge,WR,,13.0,28.0,73,208,Michigan State,6.0,1993-12-23,,,,Harrison (MI),Inactive,0,,,,,,,,9999999.0,['WR'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
1365,Aaron Dobson,Aaron,Dobson,WR,,83.0,29.0,"6'3""",205,Marshall,7.0,1991-07-23,,,,South Charleston (WV),Injured Reserve,0,,,,,,,,9999999.0,['WR'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
3471,Aaron Green,Aaron,Green,RB,,36.0,29.0,71,205,Texas Christian,6.0,1992-10-15,,,,Madison (TX),Inactive,0,,,,,,,,9999999.0,['RB'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
516,Aaron Hernandez,Aaron,Hernandez,TE,,81.0,29.0,"6'2""",245,Florida,9.0,1989-11-06,,,,,Inactive,0,,,,,,,,9999999.0,['TE'],None,2025-11-05 00:47:44,2025-11-05 00:47:44
