sleeper_player_id,first_name,last_name,full_name,position,nfl_team,number,status,injury_status
2503,A.J.,Derby,A.J. Derby,TE,,81,Inactive,
7074,A.J.,Hines,A.J. Hines,RB,,,Inactive,NA
6664,A.J.,Ouellette,A.J. Ouellette,RB,,1,Active,
6373,A.J.,Richardson,A.J. Richardson,WR,,0,Active,
2701,AJ,Cruz,AJ Cruz,WR,,81,Inactive,
1226,AJ,Jenkins,AJ Jenkins,WR,,15,Inactive,
4683,Aaron,Bailey,Aaron Bailey,QB,BAL,8,Active,
3368,Aaron,Burbridge,Aaron Burbridge,WR,,13,Inactive,
1365,Aaron,Dobson,Aaron Dobson,WR,,83,Injured Reserve,
3471,Aaron,Green,Aaron Green,RB,,36,Inactive,
516,Aaron,Hernandez,Aaron Hernandez,TE,,81,Inactive,
5772,Aaron,Lacombe,Aaron Lacombe,WR,,0,Inactive,
2019,Aaron,Murray,Aaron Murray,QB,,7,Inactive,
4384,Aaron,Peck,Aaron Peck,TE,,86,Active,
2698,Abou,Toure,Abou Toure,RB,,38,Inactive,
8190,Abram,Smith,Abram Smith,RB,,41,Active,
6187,Aca'Cedric,Ware,Aca'Cedric Ware,RB,,33,Active,
1450,Ace,Sanders,Ace Sanders,WR,,18,Inactive,
6491,Adam,Choice,Adam Choice,RB,,38,Active,
3033,Adam,Drake,Adam Drake,WR,,0,Inactive,
3712,Adam,Fuehne,Adam Fuehne,TE,,86,Inactive,
2822,Adam,Humphries,Adam Humphries,WR,,27,Active,
4085,Adam,Shaheen,Adam Shaheen,TE,,80,Inactive,
4768,Adam,Zaruba,Adam Zaruba,TE,,80,Inactive,
5129,Adonis,Jennings,Adonis Jennings,WR,,13,Active,
2929,Adrian,Coxson,Adrian Coxson,WR,,0,Active,
7093,Adrian,Killins,Adrian Killins,RB,DEN,17,Inactive,
184,Adrian,Peterson,Adrian Peterson,RB,,21,Active,
1165,Adrien,Robinson,Adrien Robinson,TE,,85,Inactive,
12361,Aeneas,Dennis,Aeneas Dennis,QB,,,Active,
78,Ahmad,Bradshaw,Ahmad Bradshaw,RB,,44,Inactive,
4929,Ahmad,Fulwood,Ahmad Fulwood,WR,,0,Active,
7228,Ahmad,Wagner,Ahmad Wagner,WR,,2,Inactive,
2731,Akeem,Hunt,Akeem Hunt,RB,,35,Inactive,
4707,Akeem,Judd,Akeem Judd,RB,,36,Inactive,
5195,Akrum,Wadley,Akrum Wadley,RB,,38,Active,
4937,Al,Riles,Al Riles,WR,IND,3,Active,
1424,Alan,Bonner,Alan Bonner,WR,,16,Inactive,
919,Aldrick,Robinson,Aldrick Robinson,WR,,8,Inactive,
5385,Alec,Bloom,Alec Bloom,TE,,87,Active,
4307,Alek,Torgersen,Alek Torgersen,QB,,9,Active,
7235,Aleva,Hifo,Aleva Hifo,WR,,84,Active,
6031,Alex,Barnes,Alex Barnes,RB,,39,Active,
2225,Alex,Bayer,Alex Bayer,TE,,82,Inactive,
3935,Alex,Chisum,Alex Chisum,WR,,3,Inactive,
3327,Alex,Collins,Alex Collins,RB,,41,Active,
3824,Alex,Ellis,Alex Ellis,TE,,36,Active,
4733,Alex,Gray,Alex Gray,TE,,89,Inactive,
12340,Alex,Larson,Alex Larson,TE,,,Active,
661,Alex,Smith,Alex Smith,TE,,83,Inactive,
6381,Alexander,Hollins,Alexander Hollins,WR,,0,Active,
1944,Alfred,Blue,Alfred Blue,RB,,23,Inactive,
1170,Alfred,Morris,Alfred Morris,RB,,41,Active,
1984,Allen,Hurns,Allen Hurns,WR,MIA,8,Active,Questionable
942,Allen,Reisner,Allen Reisner,TE,,85,Inactive,
5802,Allenzae,Staggers,Allenzae Staggers,WR,,0,Active,
2766,Alonzo,Harris,Alonzo Harris,RB,,46,Inactive,
4494,Alonzo,Moore,Alonzo Moore,WR,,0,Inactive,
3420,Alonzo,Russell,Alonzo Russell,WR,,0,Inactive,
3811,Alstevis,Squirewell,Alstevis Squirewell,RB,,40,Active,
7540,Amari,Rodgers,Amari Rodgers,WR,,3,Active,
4626,Amba,Etta-Tawo,Amba Etta-Tawo,WR,,6,Active,
3606,Amir,Carlisle,Amir Carlisle,WR,,0,Active,
4928,Anas,Hasic,Anas Hasic,WR,,0,Active,
148,Andre,Caldwell,Andre Caldwell,WR,,17,Inactive,
2601,Andre,Davis,Andre Davis,WR,,14,Inactive,
2520,Andre,Debose,Andre Debose,WR,,9,Inactive,
1575,Andre,Ellington,Andre Ellington,RB,,32,Inactive,
940,Andre,Holmes,Andre Holmes,WR,,19,Inactive,
92,Andre,Johnson,Andre Johnson,WR,,81,Inactive,
5249,Andre,Levrone,Andre Levrone,WR,,16,Active,
6617,Andre,Lindsey,Andre Lindsey,WR,,0,Active,
627,Andre,Roberts,Andre Roberts,WR,,18,Active,
2088,Andre,Williams,Andre Williams,RB,,44,Inactive,
2683,Andrew,Franks,Andrew Franks,K,,3,Inactive,
2286,Andrew,Furney,Andrew Furney,K,,8,Inactive,
2756,Andrew,Gleichert,Andrew Gleichert,TE,,0,Active,
831,Andrew,Hawkins,Andrew Hawkins,WR,,16,Inactive,
6702,Andrew,Jacas,Andrew Jacas,K,,0,Inactive,
1111,Andrew,Luck,Andrew Luck,QB,,0,Injured Reserve,
8775,Andrew,Mevis,Andrew Mevis,K,,0,Active,
3948,Andrew,Opoku,Andrew Opoku,WR,,0,Inactive,
2125,Andrew,Peacock,Andrew Peacock,WR,,1,Inactive,
4832,Andrew,Price,Andrew Price,TE,,47,Active,
601,Andrew,Quarless,Andrew Quarless,TE,,49,Inactive,
2804,Andrew,Turzilli,Andrew Turzilli,WR,,2,Injured Reserve,
